,Class,DataType,filename,img_path,z_filename,z_img_path,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31
10,Plane,RW,biplane_11.png,data/biplane_11.png,None,None,-0.7105022,0.6172511,0.06877991,0.88778013,0.5440951,-0.5020677,0.71224844,0.033213656,1.4355514,-0.032687496,0.41822568,-0.2519676,-0.09152261,-0.44868863,0.83898073,-0.5951451,-0.47829086,0.45008463,-0.003302352,0.62112683,0.6717297,-0.33504993,-0.32781133,-0.5631348,-0.49391073,0.08668398,0.78925836,0.07242203,-0.2789648,0.19645062,-0.17290524,-0.090015635
11,Plane,RW,biplane_12.png,data/biplane_12.png,None,None,-0.010932368,0.64725316,-0.1869259,0.35735655,0.028359639,-0.0854643,0.14379834,0.12141905,0.6786813,0.48131716,0.4310931,-0.14911757,-0.33920145,-0.38503122,0.17126517,-0.1136203,-0.16395535,-0.21232203,-0.02057369,0.044990987,0.50034076,-0.12294187,0.37031382,-0.17158273,-0.35814932,-0.12498145,-0.17831609,0.26787883,0.1443457,-0.19024563,-0.27217802,0.15575655
12,Plane,RW,biplane_13.png,data/biplane_13.png,None,None,-0.24190062,0.51207376,-0.30188474,0.31798103,-0.000651554,-0.97690207,0.55621433,-0.11588238,0.9214766,0.25926343,0.6167576,-0.1028305,0.09374463,-0.014827642,-0.2940358,-0.36315998,0.07535371,0.052221887,-0.1925547,0.15586393,0.4711122,-0.6164428,-0.12782703,-0.036244728,0.01226273,0.19391893,0.20085558,0.30152184,0.12622139,-0.14092511,0.24138027,-0.6864061
13,Plane,RW,biplane_14.png,data/biplane_14.png,None,None,-0.378091,0.4402516,0.3027435,-0.09411867,0.31179598,-0.42583883,-0.30089724,-0.28747866,0.6453476,0.5345213,0.6627137,0.2982038,-0.011198775,-0.2797357,0.66451013,-0.29278204,-0.0926524,-0.47574082,0.26850888,0.09387456,1.5638144,-0.7150463,0.14454384,-0.3184673,-0.21666707,-0.3421591,0.19166997,-0.0898614,0.45284954,0.13521086,-0.03234554,-0.32058135
14,Plane,RW,biplane_15.png,data/biplane_15.png,None,None,-0.4342329,0.5887412,0.2975417,0.4969759,0.021820035,-1.2468401,0.12339138,-0.1623249,0.6527901,-0.41887987,0.633949,-0.30728444,-0.31588027,-0.105452724,0.11089217,-0.39672667,0.17211646,0.3768846,-0.08658216,0.23345676,0.53168344,-0.49117866,0.24104196,-0.62988204,-0.68558496,-0.2912509,0.13840584,0.44136798,-0.34624928,0.1166195,0.26480037,-0.05552909
15,Plane,RW,biplane_16.png,data/biplane_16.png,None,None,-0.12078986,0.5420073,-0.03221862,0.37658808,-0.10156574,-0.1431153,-0.034014605,-0.2548981,0.38027337,0.7344724,0.16999412,0.31598735,-0.047840737,-0.9632836,0.25827724,-0.017876744,-0.25529236,-0.104198664,-0.17256351,0.056513924,0.74634886,-0.4245157,0.38585448,-0.10914117,-0.1784359,-0.10659837,-0.059836384,0.3425704,0.27234077,-0.057237715,0.05439279,-0.01996902
16,Plane,RW,biplane_17.png,data/biplane_17.png,None,None,-0.16006233,0.4479757,-0.017282486,0.3863725,0.34566897,-0.27312425,-0.24276577,-0.27326572,0.4511223,0.69972056,0.10532707,0.44568488,0.014216935,-0.38123393,0.38085005,-0.27165517,-0.27649528,-0.27740672,-0.11122126,0.08244154,0.9369018,-0.48085356,0.35109648,-0.08455015,-0.012663072,-0.015638696,-0.10251114,0.13106373,0.13900492,-0.19448109,-0.21391864,-0.102005616
17,Plane,RW,biplane_18.png,data/biplane_18.png,None,None,0.38501117,0.8235981,0.048709318,0.4140091,-0.30828473,-0.0744938,-0.017514985,-0.10863188,0.23127668,0.7730286,0.01915071,-0.049004115,0.006457456,-0.46773103,-0.20457293,0.20374344,0.4034022,-0.19301955,-0.6636042,0.050754778,0.79088306,-0.15374233,0.015570371,0.25027552,-0.53290653,-0.04659243,-0.2808717,0.20883393,0.04677067,0.06412374,0.15268227,0.2795374
18,Plane,RW,biplane_19.png,data/biplane_19.png,None,None,-0.71354073,0.52326435,0.022144873,0.15577134,0.17364891,-0.2944156,0.17852479,-0.04867207,0.8083461,1.1001592,0.43101257,-0.079428196,-0.12147829,-0.48397762,0.042609237,0.040779356,-0.41469237,-0.040868953,0.18562667,0.06405665,0.5568622,-0.24535508,0.13791691,-0.23829015,-0.034017358,-0.34241253,0.18285668,-0.10154146,-0.18472575,-0.09958872,-0.49771568,0.007898712
19,Plane,RW,biplane_20.png,data/biplane_20.png,None,None,-0.29081425,1.1436137,0.18429624,1.0955088,0.053767253,0.30760416,-0.00971966,-0.21085684,0.03206808,0.42933017,0.2876212,0.32197008,0.17145254,-0.24502097,0.73683035,-0.12304357,-0.24210219,0.011697153,-0.3609055,0.2139891,0.72645813,-0.56734073,0.40126535,0.005773446,-0.5367622,0.14157763,-0.05036672,0.4129468,0.35355106,-0.29923883,-0.09776852,-0.19836244
20,Eagle,RW,Eagle00.png,data/Eagle00.png,None,None,0.12594286,0.43606928,0.27655217,-0.15781683,0.1400855,-0.54033583,0.10728369,-0.3383451,0.26748076,0.562236,0.27938628,0.108893245,-0.28385323,-0.6069883,-0.18676583,0.23378274,0.3152482,-0.24506663,-0.018559005,-0.06281976,0.49724594,-0.14359099,0.015976664,0.056102466,-0.025314141,-0.0257154,-0.2610441,0.20814267,-0.16330189,0.3125203,-0.04103989,-0.22024395
21,Eagle,RW,Eagle01.png,data/Eagle01.png,None,None,0.07793523,0.8153967,-0.08710478,0.28188682,0.22458217,-0.29423538,0.29957032,0.006428507,0.32273647,0.22163561,-0.06928052,-0.3220146,-0.07765997,-0.38999087,0.063537806,-0.2565501,-0.016576618,0.19982347,-0.121988185,-0.23300648,0.44389087,-0.16560553,-0.003897073,-0.12814012,-0.16746461,-0.36069545,-0.24218893,0.37190172,0.03521022,-0.15750095,-0.115783125,-0.052340347
22,Eagle,RW,Eagle02.png,data/Eagle02.png,None,None,-0.007892473,0.73213434,0.021841822,0.075645134,-0.07516636,-0.5997536,-0.06547619,-0.22610141,0.14277905,0.5406002,0.06837901,-0.001480248,-0.07194233,-0.3783707,0.04504897,-0.22496182,0.05729847,-0.015185991,-0.17503783,0.1342169,0.5997002,-0.13702513,0.38450354,-0.15110886,-0.054390624,-0.13506086,-0.16947624,0.2162456,0.14287753,0.14173318,-0.39096954,0.021378735
23,Eagle,RW,Eagle03.png,data/Eagle03.png,None,None,0.2100078,0.27538994,-0.04864822,0.19150619,-0.25163925,-0.30618525,-0.101805985,-0.0463911,0.32047105,0.6199527,0.05868929,-0.17178123,-0.31664786,-0.49040526,-0.11362935,0.112664126,-0.08679191,-0.24345997,-0.038333252,-0.029954333,0.26159757,-0.047217082,0.3730741,-0.07283199,-0.17192589,-0.20650403,-0.5420509,0.38019857,-0.08892904,-0.12381663,-0.348943,-0.22447172
24,Eagle,RW,Eagle04.png,data/Eagle04.png,None,None,-0.17092384,1.0675993,0.10660113,0.37918314,-0.24840626,-0.9533291,0.068005286,0.15396725,0.5919883,0.6319113,-0.072184704,-0.3134877,0.23604228,-0.2626365,0.24996115,-0.090827145,-0.323821,0.045878608,-0.37362587,-0.052712906,0.018263627,-0.27779222,-0.099328734,-0.5704213,-0.55300456,-0.30864462,-0.5383079,0.39776087,0.10922312,-0.299329,-0.516522,0.2012372
25,Eagle,RW,Eagle05.png,data/Eagle05.png,None,None,0.27325764,0.5100476,0.13126406,0.30930644,-0.15360205,-0.38490573,-0.1469964,-0.17460425,0.30538058,0.6163863,-0.104142904,0.13743511,-0.23230436,0.05619638,0.11473666,-0.28630024,-0.01647945,-0.18620794,-0.3216139,0.25962114,0.4944499,-0.5147801,0.5101232,-0.124439575,0.41319707,-0.00622684,-0.4017621,0.079883374,0.37932277,-0.31457025,-0.13661134,0.31673905
26,Eagle,RW,Eagle06.png,data/Eagle06.png,None,None,-0.06298682,0.58104426,0.24944046,-0.016043924,-0.2475167,-0.532595,0.14689396,-0.14636378,0.43796638,0.42206177,-0.14183848,-0.10171916,-0.50825113,-0.5431848,-0.10530546,-0.1773386,0.035527714,0.057247367,-0.1221881,0.022941202,0.24011791,-0.07799044,0.035104,-0.22071512,0.03901971,-0.044989396,-0.43730396,0.44515422,-0.06484384,-0.20457418,0.08593794,0.24245444
27,Eagle,RW,Eagle07.png,data/Eagle07.png,None,None,-0.23246759,1.4342078,-0.14445019,0.10600447,-0.38323224,-0.7360894,0.035775412,0.1860439,0.15973456,0.6506842,0.49766457,0.31572086,0.046905972,-0.41634446,-0.002391368,0.14511809,-0.13403364,0.30101243,-0.06474907,0.07169812,0.1941841,0.24276008,0.19303904,-0.13109882,-0.18542992,0.037697755,-0.0899915,0.20424098,0.026041709,-0.32391217,-0.64961326,0.15148981
28,Eagle,RW,Eagle08.png,data/Eagle08.png,None,None,0.018382749,0.45607114,-0.073624544,-0.030318618,-0.20845243,-0.2413625,-0.000150194,0.013771068,0.3645282,0.5026469,0.17942604,-0.1302176,-0.21860532,-0.25223795,-0.110400744,-0.011215088,-0.21397461,0.12869091,-0.2738377,0.010843525,0.38067806,0.064387135,0.46530274,-0.17754303,-0.22066057,0.058506683,-0.18518323,0.14344114,-0.004424284,0.042159237,-0.19575866,-0.09499661
29,Eagle,RW,Eagle09.png,data/Eagle09.png,None,None,0.1320839,0.61829376,0.04465296,0.3881169,-0.46706527,-0.48870042,-0.022696456,0.00752234,-0.058777224,0.43695548,0.122931436,-0.059225213,-0.15970513,-0.34582713,-0.09140448,-0.25585753,-0.07295821,0.25370032,-0.3304966,-0.111283705,0.344415,-0.054617647,0.14479436,-0.11912356,-0.35373443,-0.3416223,-0.22002684,0.3604241,-0.43523586,0.23014079,0.09132511,-0.28210866
30,Eagle,RW,Eagle10.png,data/Eagle10.png,None,None,0.1894084,0.65718293,0.15826188,0.056459222,-0.19304031,-0.2627196,-0.109785736,-0.19372486,0.25278088,0.42031583,-0.124752164,0.003544924,-0.14193939,-0.2631217,-0.1614903,-0.033385467,0.090396486,0.004814504,0.004396774,-0.011609864,0.37900358,-0.013186875,0.3824642,-0.17116284,-0.004802988,0.006752177,-0.26247296,0.19663134,0.20828164,-0.14838172,0.030804057,0.18018344
31,Eagle,RW,Eagle11.png,data/Eagle11.png,None,None,0.18577011,0.6172879,-0.06181295,0.1680011,-0.6122986,-0.2989486,-0.21659389,0.083432816,0.363219,0.78299326,-0.282463,0.24624085,-0.21455817,-0.49372524,0.030088814,0.3328419,0.20149545,-0.34912056,-0.19265506,-0.32667962,0.33783495,0.123772256,0.30262613,-0.065711066,-0.1545471,0.1759818,-0.25900713,-0.02884025,0.017307289,-0.24741285,-0.095979586,0.19750242
32,Eagle,RW,Eagle12.png,data/Eagle12.png,None,None,0.17550409,0.8206222,-0.011942025,0.12874241,-0.123782985,-0.6519802,-0.18388847,-0.18023187,0.17133619,0.44624332,-0.12240138,0.116779774,-0.2634877,-0.57234603,0.14630464,0.2891133,0.30503452,-0.29184297,0.06962197,0.1194637,0.3282228,0.12266364,0.39183012,-0.033576444,0.1262935,0.09984661,-0.37677255,0.5687768,0.04825516,0.075274326,-0.4163735,-0.044777907
33,Eagle,RW,Eagle13.png,data/Eagle13.png,None,None,0.002773458,0.7732754,0.44294083,0.120249964,-0.4140538,-0.45606917,-0.025128348,-0.048750553,0.26231635,0.29504046,-0.15920217,0.1295095,0.07149121,-0.2308242,-0.21174072,0.30403093,0.15462726,-0.22952074,-0.22357072,-0.24575225,0.6095269,-0.008692857,0.2560671,0.20026685,0.22703442,-0.003894632,-0.24056861,0.11708148,-0.01263319,-0.26158768,-0.036317702,0.16034694
34,Eagle,RW,Eagle14.png,data/Eagle14.png,None,None,0.05101633,0.52333844,0.035378236,0.3463978,-0.065154396,-0.022765545,0.045714766,0.26530233,0.25827438,0.47603363,-0.30639854,-0.023567436,-0.2871936,-0.5021723,0.0611141,0.20076859,-0.40004712,-0.08906224,-0.03918402,0.012247981,0.36370155,-0.06276812,0.4948088,-0.053818934,-0.07318072,0.028463855,-0.38530535,0.30261764,0.08649405,-0.1829642,-0.111054964,0.018677924
35,Eagle,RW,Eagle15.png,data/Eagle15.png,None,None,0.16856973,0.8311195,0.24411464,0.26007432,-0.16395137,0.003286335,-0.0916674,-0.015620141,0.2730089,0.475692,-0.06728264,0.024328217,-0.2969671,-0.55001605,-0.11459181,0.07003427,-0.13756597,0.08311572,-0.21179096,-0.25682205,0.35109594,-0.13051218,0.4043413,-0.06561898,0.08147473,-0.10345955,-0.19957413,0.18736632,0.14081815,-0.14349137,0.013618007,-0.04705145
36,Eagle,RW,Eagle16.png,data/Eagle16.png,None,None,0.21476078,0.46293905,0.09684823,0.08543097,-0.51903534,-0.62725955,-0.2208414,-0.34302968,0.532058,0.57521445,0.1694556,-0.15079512,-0.20354515,-0.59892005,0.2235077,-0.17208864,-0.11650265,0.17383826,0.123041265,0.04126963,0.06699509,-0.16058052,0.17391025,-0.21414512,-0.064819075,-0.065209135,-0.6325441,0.07382046,-0.28368425,-0.51209533,-0.30035028,-0.12196093
37,Eagle,RW,Eagle17.png,data/Eagle17.png,None,None,0.023048135,0.5995973,0.23401079,0.35741732,-1.2256367,-0.43426594,-0.3075795,0.32990634,0.4978643,1.0259502,0.17364442,0.08879144,-0.12173717,-0.75206405,-0.03059883,0.29071394,0.3320861,0.34416515,-0.09982745,-0.15033741,0.39575055,0.23099135,-0.2614933,-0.21888058,-0.017034106,-0.2435583,-0.39000663,-0.034997992,-0.33898,-0.24261296,-0.54036605,0.053575575
38,Eagle,RW,Eagle18.png,data/Eagle18.png,None,None,0.10792733,0.37538773,-0.06655203,0.018401843,-0.16773307,-0.12885788,-0.12519632,-0.048041143,0.456365,0.6267453,0.040237997,0.12788014,-0.36606723,-0.13294551,-0.052130837,-0.004675302,-0.027335487,-0.035382602,-0.15102449,0.06605405,0.41243243,-0.08299289,0.50405097,-0.039721113,0.110383846,0.1052098,-0.39989558,0.123250544,0.158565,-0.15555029,-0.10238188,0.029120604
39,Eagle,RW,Eagle19.png,data/Eagle19.png,None,None,-0.060584426,0.79916096,-0.028928388,-0.028057648,0.081519336,-0.3623125,0.19210935,0.3830464,0.045149904,1.0103772,-0.10522695,-0.3069849,-0.14159644,-0.9226378,-0.11090291,-0.15066299,0.14164022,0.07025257,-0.3666408,0.051598497,0.08068253,-0.09858866,0.37157002,0.047569804,-0.014986951,0.21297285,-0.37138343,0.29327366,0.19199042,-0.14084405,-0.19697925,0.02518814
